subject,mean_ratio_low,mean_ratio_high,ratio_normalizado_low,ratio_normalizado_high,n_windows_low,n_windows_high,fz_artifact_pct_low,pz_artifact_pct_low,fz_artifact_pct_high,pz_artifact_pct_high
1,0.4526313335471801,0.5667396796058091,0.7894565123126795,0.9884784761684444,71,70,5.064415815193248,5.064415815193248,1.9557728636515168,1.9557728636515168
2,0.3993788899384674,3.7838217552535567,0.830704808304334,7.87031814911388,71,70,3.3666666666666667,3.3666666666666667,25.48060895655073,35.703967107456386
edwin2,0.5124680970089432,0.6490687790208836,0.2275725884501641,0.2882330880421465,2,2,5.919661733615222,5.919661733615222,3.663793103448276,3.663793103448276
heberto,0.661899915742719,0.814230633652564,0.6232981081420164,0.7667449435726884,71,71,13.811111111111112,13.811111111111112,6.966666666666667,6.966666666666667
